# b0,b1,b2,b3
1.547431027532537584e+01,8.376243810759657293e+00,1.302511911091724883e+01,1.189875148701668728e+01
1.492781998205805927e+01,8.137172699191987491e+00,1.263890625546720692e+01,1.137485696842163385e+01
1.538575020129472826e+01,8.536730943571466668e+00,1.301331096696697820e+01,1.173459020362453309e+01
1.534823218991917138e+01,8.614493353753582383e+00,1.329421197109178188e+01,1.147566836498293341e+01
1.474566947865088373e+01,7.596868177495196939e+00,1.237689069986854129e+01,1.105446021920962529e+01
1.446806460296645369e+01,7.888105149429556207e+00,1.244460223483027406e+01,1.080997291721461906e+01
1.477824142968263565e+01,8.130124409879421421e+00,1.276678204924598958e+01,1.078175110572742668e+01
1.502856925577594716e+01,8.506644687209496070e+00,1.306725713643880660e+01,1.117940413025952928e+01
1.501022295445374155e+01,8.181532836995470959e+00,1.300994362200802179e+01,1.105272560333415655e+01
1.427190012341333691e+01,7.270468179447963308e+00,1.204640344812876585e+01,1.068504807360620745e+01
1.393035489879798483e+01,7.102185035773382893e+00,1.159508481006954739e+01,1.001104313791414846e+01
1.423894553517884454e+01,7.207706889301828568e+00,1.223815254285742604e+01,1.043329025652844955e+01
1.525895946951596294e+01,8.407456672406723897e+00,1.356599733852022283e+01,1.088681375983912147e+01
1.525498928742918636e+01,8.503899929980894612e+00,1.349866104040941650e+01,1.110439081857750665e+01
1.583663771399056408e+01,9.322260385197765231e+00,1.411660843741710814e+01,1.152439004460801186e+01
1.562156469556857097e+01,9.031468361617848828e+00,1.410958543699324963e+01,1.147839116912384050e+01
1.656627884066495682e+01,9.915939195231043612e+00,1.483264475793849080e+01,1.236307973646028557e+01
1.719486949548378973e+01,1.062894005824204768e+01,1.567759577812039495e+01,1.265763289492709021e+01
1.780122555556839004e+01,1.136675478506616699e+01,1.628453219533425056e+01,1.346955173668968619e+01
1.760292833135093815e+01,1.098984711102852430e+01,1.578814798445250389e+01,1.320134315146912307e+01
1.806936784001642948e+01,1.169787241928804455e+01,1.684512771594513580e+01,1.396626356113530676e+01
1.878936378450604039e+01,1.251964344142552399e+01,1.738719448425719705e+01,1.428984803856040209e+01
1.932770676027066514e+01,1.332487181495224604e+01,1.820837804744842359e+01,1.511055299808961472e+01
1.934311762555836012e+01,1.293919063493391519e+01,1.783348715564477160e+01,1.487276727413231647e+01
1.882300027859967884e+01,1.245678223642120486e+01,1.730561355563875381e+01,1.446359242565094050e+01
1.946782376091919176e+01,1.301261812820358799e+01,1.793651023310727055e+01,1.491445872144051776e+01
1.915414628856499135e+01,1.269995519414728058e+01,1.752184635175629879e+01,1.510841652244037725e+01
1.880173773414723115e+01,1.208266751121077043e+01,1.718369635930645956e+01,1.449737384125192996e+01
1.818474083056560531e+01,1.157332616823311966e+01,1.653413229417688513e+01,1.422636204414449068e+01
1.793224393640691261e+01,1.115995007451066456e+01,1.629287665046118860e+01,1.347923854275435751e+01
1.696999337836745170e+01,1.054507767927416495e+01,1.536085248948422510e+01,1.262638599536874473e+01
1.666587151027638569e+01,1.014453047421169174e+01,1.531461034215208095e+01,1.244771697547058054e+01
1.648544449196105433e+01,1.009238591402088936e+01,1.517376725428884576e+01,1.210308356087500670e+01
1.583278869922320453e+01,9.207527631916844868e+00,1.416779092651769822e+01,1.162073215972524132e+01
1.566220168830576220e+01,9.281212440743932035e+00,1.433287233463970800e+01,1.095440426444551996e+01
1.527808702352488091e+01,9.112581675918672630e+00,1.429317722825984838e+01,1.088526026799740798e+01
1.597909597502041912e+01,9.687934878727546106e+00,1.461009884003257220e+01,1.143067892706654298e+01
1.670385991854333696e+01,1.046869492750150066e+01,1.561784048664836710e+01,1.205847494228404315e+01
1.659623755989722582e+01,1.097233459214475104e+01,1.601832096408709560e+01,1.209615169766907172e+01
1.684103732187693936e+01,1.094511044332103111e+01,1.614327834405414919e+01,1.211275307663168910e+01
1.719661226525320785e+01,1.128110498357626135e+01,1.622039968635111862e+01,1.269868584299313419e+01
1.761928827554597987e+01,1.158019640025155184e+01,1.626311973734633298e+01,1.293897340403061413e+01
1.751364278426127541e+01,1.178586432592309308e+01,1.657454014916208251e+01,1.272670177644227962e+01
1.671627743497955265e+01,1.123308946119133012e+01,1.597779801755040374e+01,1.216373368146401468e+01
1.706850313591815649e+01,1.127261287066133910e+01,1.619776510334062181e+01,1.212519641443682517e+01
1.785639289083695758e+01,1.209154041294912751e+01,1.707399537661919098e+01,1.313359689895595572e+01
1.791761860554147390e+01,1.216760753802986628e+01,1.710741184329538100e+01,1.306894606661509428e+01
1.814122540107073078e+01,1.255164695630655380e+01,1.737963875181748463e+01,1.343795209460282791e+01
1.912005669357197490e+01,1.369611056279130246e+01,1.836737960033688566e+01,1.427332858439820029e+01
1.916860576827607332e+01,1.400644408932317120e+01,1.912200388848425447e+01,1.462538914032376347e+01
1.980762179487871322e+01,1.481407938366747601e+01,1.986534880658559743e+01,1.472300606436203552e+01
2.022632060280641397e+01,1.497174686561554502e+01,1.985575850816156063e+01,1.515981203059324223e+01
2.055403726911761808e+01,1.517791949116994132e+01,2.018538081741644774e+01,1.558583550354211411e+01
