# b0,b1,b2,b3
4.371201885489809591e+00,2.703669321027916794e+00,4.232935203224974074e+00,3.062121969450258163e+00
4.009436501277578557e+00,3.107823790339669934e+00,4.140236552373606216e+00,2.899223808815901915e+00
4.026532221850394500e+00,3.665089576183121700e+00,4.560006785399576934e+00,2.291713207631657312e+00
2.795265253765280011e+00,4.782325333024565417e+00,4.558573984447383154e+00,2.458919201430428636e+00
3.302047150962363897e+00,4.052889551970769944e+00,4.367223938941747541e+00,2.455749791455892783e+00
2.328487860646603291e+00,4.777238792613927032e+00,4.438109581687409211e+00,2.960873196240070282e+00
2.383048524712144012e+00,5.054041718922687387e+00,5.032460412733546384e+00,2.421861652586051683e+00
2.368484742677522625e+00,5.560945111879220804e+00,5.587180153685340933e+00,2.374197678532705247e+00
3.252385785676044527e+00,5.287813939267440588e+00,5.807000291610302511e+00,1.752903261059528095e+00
3.349393789838251312e+00,4.609785005278524750e+00,5.241120528041419924e+00,2.147446297709951768e+00
2.433492578582317822e+00,4.831649139983328567e+00,4.611111879901597099e+00,2.962790009061162078e+00
3.150230291657603932e+00,4.369092050075401801e+00,4.846167045998233114e+00,2.282944147294805326e+00
3.272836983033891478e+00,5.096009471499963972e+00,5.803243261570994349e+00,1.965343322853779995e+00
2.693070537557528343e+00,5.074562409899718851e+00,5.135230445725595061e+00,2.358047724899303255e+00
3.323287438130275717e+00,4.704695128099491974e+00,5.544650641799668378e+00,1.893758937981504520e+00
3.698038007095193702e+00,4.099781120252399269e+00,4.914170199556380680e+00,2.105728849601824493e+00
4.309318439049090621e+00,2.930101623316431869e+00,4.696402525493990510e+00,2.526889129140715173e+00
4.384900870972404441e+00,3.818634414533445209e+00,5.183103798144613528e+00,1.981039979234910708e+00
5.040794295400694125e+00,3.378667441194395771e+00,5.746636146642877030e+00,1.536523171271961585e+00
5.144646117033081723e+00,3.063363791942038894e+00,5.663612680691550771e+00,2.004031102220455995e+00
5.794990101426158446e+00,2.174794840456836909e+00,5.334399748054388546e+00,2.885170232184714134e+00
5.315065222349240059e+00,1.752316467595642635e+00,3.879984378232622877e+00,3.806405564332183467e+00
5.432987296045885373e+00,2.109833104757960154e+00,5.176611480133953336e+00,2.834289378554709860e+00
4.442803630333576059e+00,3.238218036883847795e+00,5.086497405798220406e+00,2.190568752528367469e+00
